Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P39524|ATC3_YEAST	P39524	ATC3_YEAST	DRS2	1355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable phospholipid-transporting ATPase DRS2	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	7.908232E7	5.5428504E7	0.0	7.908232E7	5.5428504E7	0.0	
sp|P39526|LAA1_YEAST	P39526	LAA1_YEAST	LAA1	2014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	AP-1 accessory protein LAA1	0.833	0.9941	1	1	1	1	1	0	0	1	0	0	1	0	0	1218445.2	0.0	0.0	0.0	0.0	0.0	
sp|P39540|ELO1_YEAST	P39540	ELO1_YEAST	ELO1	310	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation of fatty acids protein 1	1.0	0.999	2	8	8	8	2	3	3	2	3	3	2	3	3	1.6544044E7	1.3242731E7	1.3100055E7	1.0448465E7	8828845.0	8545389.0	
sp|P39551|PRM9_YEAST	P39551	PRM9_YEAST	PRM9	298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pheromone-regulated membrane protein 9	0.9999	0.9987	2	2	0	2	2	0	0	0	0	0	2	0	0	1467289.9	1410253.8	1414035.9	1467289.9	1410253.8	1414035.9	sp|P53174|PRM8_YEAST
sp|P39676|FHP_YEAST	P39676	FHP_YEAST	YHB1	399	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Flavohemoprotein	1.0	0.999	12	87	87	87	28	28	31	28	28	31	28	28	31	2.09202688E8	1.9165712E8	2.26709664E8	3.8115936E7	4.2619552E7	4.5295644E7	
sp|P39683|NPT1_YEAST	P39683	NPT1_YEAST	NPT1	429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nicotinate phosphoribosyltransferase	1.0	0.999	15	59	59	59	18	21	20	18	21	20	18	21	20	2.23010288E8	2.41404896E8	2.37506192E8	2.8829124E7	2.8966598E7	2.8129752E7	
sp|P39685|PO152_YEAST	P39685	PO152_YEAST	POM152	1337	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin POM152	0.9673	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P39704|ERP2_YEAST	P39704	ERP2_YEAST	ERP2	215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein ERP2	0.9995	0.999	2	13	13	13	4	4	5	4	4	5	4	4	5	4.774796E7	4.5927608E7	6.8838424E7	2.7936926E7	2.5633112E7	4.0090504E7	
sp|P39705|NUP60_YEAST	P39705	NUP60_YEAST	NUP60	539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP60	0.9047	0.9969	1	1	1	1	1	0	0	1	0	0	1	0	0	1.0272324E7	6452879.0	8082736.0	1.0272324E7	6452879.0	8082736.0	
sp|P39713|BDH2_YEAST	P39713	BDH2_YEAST	BDH2	417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable diacetyl reductase [(R)-acetoin forming] 2	1.0	0.999	3	12	12	12	5	3	4	5	3	4	5	3	4	2.4769784E7	1.977851E7	2.3260296E7	6978761.0	5774591.5	6612637.5	
sp|P39714|BDH1_YEAST	P39714	BDH1_YEAST	BDH1	382	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	(R,R)-butanediol dehydrogenase	1.0	0.999	5	23	23	23	10	7	6	10	7	6	10	7	6	6.4231304E7	6.3274996E7	5.3370832E7	1.4457407E7	1.2935267E7	1.1165145E7	
sp|P39721|AIM2_YEAST	P39721	AIM2_YEAST	AIM2	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein AIM2	1.0	0.999	3	7	7	7	1	2	4	1	2	4	1	2	4	1.7133758E7	1.808744E7	2.253368E7	1.1652357E7	1.0092633E7	1.3569749E7	
sp|P39722|GEM1_YEAST	P39722	GEM1_YEAST	GEM1	662	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial Rho GTPase 1	0.6925	0.987	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P39726|GCSH_YEAST	P39726	GCSH_YEAST	GCV3	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycine cleavage system H protein, mitochondrial	1.0	0.999	4	22	22	22	6	8	8	6	8	8	6	8	8	9.0450544E7	1.04576664E8	1.1033728E8	3.117649E7	3.6993076E7	4.2878228E7	
sp|P39727|ERV46_YEAST	P39727	ERV46_YEAST	ERV46	415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ER-derived vesicles protein ERV46	1.0	0.999	5	14	14	14	6	4	4	6	4	4	6	4	4	4.8450988E7	4.018026E7	4.710112E7	1.5206888E7	1.2743554E7	1.3260562E7	
sp|P39729|RBG1_YEAST	P39729	RBG1_YEAST	RBG1	369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribosome-interacting GTPase 1	1.0	0.999	2	3	3	3	1	0	2	1	0	2	1	0	2	5521351.0	1.1036218E7	1.0408349E7	5521351.0	7964878.5	7678136.5	
sp|P39730|IF2P_YEAST	P39730	IF2P_YEAST	FUN12	1002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5B	1.0	0.999	24	91	91	91	25	35	31	25	35	31	25	35	31	2.79778112E8	2.67649328E8	2.60490208E8	2.8724356E7	2.632681E7	2.7146362E7	
sp|P39742|SEC72_YEAST	P39742	SEC72_YEAST	SEC72	193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Translocation protein SEC72	0.9999	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	2.6504666E7	1.7334808E7	2.751788E7	2.1622118E7	1.4622182E7	2.1279362E7	
sp|P39743|RV167_YEAST	P39743	RV167_YEAST	RVS167	482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Reduced viability upon starvation protein 167	1.0	0.999	9	43	43	43	15	16	12	15	16	12	15	16	12	1.09317392E8	1.15397608E8	1.23991264E8	1.9233716E7	2.2265612E7	2.3035274E7	
sp|P39744|NOC2_YEAST	P39744	NOC2_YEAST	NOC2	710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleolar complex protein 2	1.0	0.9989	4	5	5	5	4	0	1	4	0	1	4	0	1	2.6905636E7	1.4186791E7	1.2065382E7	8872379.0	8778460.0	6805313.0	
sp|P39925|AFG3_YEAST	P39925	AFG3_YEAST	AFG3	761	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial respiratory chain complexes assembly protein AFG3	0.9566	0.9824	2	4	4	4	2	1	1	2	1	1	2	1	1	3597009.5	8594715.0	2169361.5	3597009.5	8594715.0	2169361.5	
sp|P39926|SSO2_YEAST	P39926	SSO2_YEAST	SSO2	295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein SSO2	1.0	0.999	5	14	13	14	4	4	6	4	4	5	4	4	6	4.486812E7	4.1501888E7	5.093344E7	2.050286E7	2.2230442E7	2.6947414E7	
sp|P39929|SNF7_YEAST	P39929	SNF7_YEAST	SNF7	240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar-sorting protein SNF7	1.0	0.999	3	10	10	10	3	4	3	3	4	3	3	4	3	2.5688956E7	2.5738562E7	2.7344174E7	1.0057392E7	9913350.0	1.0333584E7	
sp|P39931|SS120_YEAST	P39931	SS120_YEAST	SSP120	234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein SSP120	1.0	0.999	5	17	17	17	6	5	6	6	5	6	6	5	6	3.95371E7	3.9894248E7	4.7127744E7	1.0670507E7	1.0345237E7	1.1975938E7	
sp|P39935|IF4F1_YEAST	P39935	IF4F1_YEAST	TIF4631	952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic initiation factor 4F subunit p150	1.0	0.999	18	50	44	50	16	15	19	14	14	16	16	15	19	4.20567712E8	1.04462472E8	1.18655888E8	3.4363484E7	3.2065248E7	3.8433832E7	
sp|P39936|IF4F2_YEAST	P39936	IF4F2_YEAST	TIF4632	914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic initiation factor 4F subunit p130	1.0	0.999	6	7	7	13	4	1	2	4	1	2	6	2	5	2.3128004E7	1.681288E7	1.1881648E7	6447615.0	6259660.0	6068963.0	
sp|P39938|RS26A_YEAST	P39938	RS26A_YEAST	RPS26A	119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S26-A	1.0	0.999	3	33	23	33	11	11	11	7	9	7	11	11	11	1.94813488E8	1.97020096E8	1.87253008E8	1.07839512E8	1.09163488E8	1.12394528E8	
sp|P39940|RSP5_YEAST	P39940	RSP5_YEAST	RSP5	809	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RSP5	1.0	0.999	17	40	40	40	14	15	11	14	15	11	14	15	11	9.7728784E7	9.2138152E7	9.6285656E7	1.5243426E7	1.3436912E7	1.4564792E7	
sp|P39954|SAHH_YEAST	P39954	SAHH_YEAST	SAH1	449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenosylhomocysteinase	1.0	0.999	15	215	215	215	69	76	70	69	76	70	69	76	70	1.34562547E9	1.27482957E9	1.24147328E9	1.41801408E8	1.34065264E8	1.26926768E8	
sp|P39958|GDI1_YEAST	P39958	GDI1_YEAST	GDI1	451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Rab GDP-dissociation inhibitor	1.0	0.999	7	32	32	32	12	10	10	12	10	10	12	10	10	8.80736E7	8.106444E7	7.6298848E7	2.4485004E7	2.487119E7	2.2150854E7	
sp|P39960|BEM2_YEAST	P39960	BEM2_YEAST	BEM2	2167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GTPase-activating protein BEM2/IPL2	0.9673	0.999	1	2	2	2	1	0	1	1	0	1	1	0	1	1335744.0	2210313.5	2304312.2	1335744.0	2210313.5	2304312.2	
sp|P39966|PP2C2_YEAST	P39966	PP2C2_YEAST	PTC2	464	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein phosphatase 2C homolog 2	1.0	0.999	9	36	18	36	12	12	12	6	6	6	12	12	12	7.3773448E7	6.7836816E7	7.3094872E7	1.4219156E7	1.3687427E7	1.4427201E7	
sp|P39968|VAC8_YEAST	P39968	VAC8_YEAST	VAC8	578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar protein 8	1.0	0.999	7	17	17	17	7	4	6	7	4	6	7	4	6	5.311296E7	4.9173068E7	4.9013728E7	1.0853835E7	9817243.0	9214433.0	
sp|P39969|BOI2_YEAST	P39969	BOI2_YEAST	BOI2	1040	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein BOI2	0.967	0.999	1	2	2	2	1	0	1	1	0	1	1	0	1	464680.38	523154.2	0.0	464680.38	523154.2	0.0	
sp|P39976|DLD3_YEAST	P39976	DLD3_YEAST	DLD3	496	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	D-2-hydroxyglutarate--pyruvate transhydrogenase DLD3	1.0	0.999	14	157	151	157	51	54	52	49	52	50	51	54	52	4.69178176E8	4.54390016E8	4.96943648E8	6.6439004E7	6.0838828E7	7.1496192E7	
sp|P39984|HAT2_YEAST	P39984	HAT2_YEAST	HAT2	401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone acetyltransferase type B subunit 2	0.7418	0.9898	1	2	2	2	1	0	1	1	0	1	1	0	1	1.2358926E7	1.2156376E7	1.5212245E7	1.2358926E7	1.2156376E7	1.5212245E7	
sp|P39985|DPO5_YEAST	P39985	DPO5_YEAST	POL5	1022	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	rDNA transcriptional regulator POL5	0.9624	0.9988	1	1	1	1	0	0	1	0	0	1	0	0	1	2481134.2	3096610.5	2501466.0	2481134.2	3096610.5	2501466.0	
sp|P39986|SPF1_YEAST	P39986	SPF1_YEAST	SPF1	1215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Endoplasmic reticulum transmembrane helix translocase	1.0	0.999	25	85	85	85	26	28	31	26	28	31	26	28	31	2.01195008E8	2.06423536E8	2.19362144E8	2.5434012E7	2.6637296E7	2.7073784E7	
sp|P39990|SNU13_YEAST	P39990	SNU13_YEAST	SNU13	126	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	13 kDa ribonucleoprotein-associated protein	0.9997	0.999	2	11	11	11	4	4	3	4	4	3	4	4	3	7.958576E7	7.0799936E7	7.1503496E7	4.4496252E7	3.9851356E7	3.9578208E7	
sp|P39993|GEA2_YEAST	P39993	GEA2_YEAST	GEA2	1459	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ARF guanine-nucleotide exchange factor 2	1.0	0.999	3	5	5	5	3	2	0	3	2	0	3	2	0	8705700.0	6672920.0	3044837.2	4153679.2	3842126.5	5355510.5	
sp|P40005|PFD2_YEAST	P40005	PFD2_YEAST	GIM4	111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Prefoldin subunit 2	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	6434947.0	5102014.0	5007987.5	6434947.0	5102014.0	5007987.5	
sp|P40006|IRC22_YEAST	P40006	IRC22_YEAST	IRC22	225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Increased recombination centers protein 22	0.9674	0.999	1	4	4	4	2	1	1	2	1	1	2	1	1	1.1442438E7	1.554122E7	1.8415496E7	1.1442438E7	1.554122E7	1.8415496E7	
sp|P40008|FMP52_YEAST	P40008	FMP52_YEAST	FMP52	231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein FMP52, mitochondrial	1.0	0.999	5	14	14	14	6	4	4	6	4	4	6	4	4	4.010484E7	3.8747604E7	3.826782E7	1.1854049E7	1.1051913E7	1.1440888E7	
sp|P40010|NUG1_YEAST	P40010	NUG1_YEAST	NUG1	520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nuclear GTP-binding protein NUG1	1.0	0.999	4	10	10	10	5	2	3	5	2	3	5	2	3	2.3961502E7	2.5575248E7	2.5079498E7	7330803.0	1.0211535E7	9328478.0	
sp|P40011|RRAAH_YEAST	P40011	RRAAH_YEAST	YER010C	234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	4-hydroxy-4-methyl-2-oxoglutarate aldolase	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	6989129.5	5127074.0	6758598.0	6989129.5	5127074.0	6758598.0	
sp|P40015|ISC1_YEAST	P40015	ISC1_YEAST	ISC1	477	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Inositol phosphosphingolipids phospholipase C	0.9666	0.999	1	1	1	1	0	1	0	0	1	0	0	1	0	2603152.8	3031195.0	2351421.2	2603152.8	3031195.0	2351421.2	
sp|P40016|RPN3_YEAST	P40016	RPN3_YEAST	RPN3	523	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN3	1.0	0.999	7	17	17	17	6	6	5	6	6	5	6	6	5	6.3553072E7	5.3952496E7	6.4760336E7	2.5043144E7	2.3500794E7	2.4095822E7	
sp|P40018|RSMB_YEAST	P40018	RSMB_YEAST	SMB1	196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein-associated protein B	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	1844048.8	1951204.6	1950209.8	1844048.8	1951204.6	1950209.8	
sp|P40019|CHZ1_YEAST	P40019	CHZ1_YEAST	CHZ1	153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H2A.Z-specific chaperone CHZ1	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	1.6594434E7	1.7913256E7	2.0263132E7	9623533.0	1.0493463E7	1.1535505E7	
sp|P40022|YEM4_YEAST	P40022	YEM4_YEAST	YER034W	185	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YER034W	0.9674	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	3852355.0	4956240.5	5494588.5	3852355.0	4956240.5	5494588.5	
sp|P40024|ARB1_YEAST	P40024	ARB1_YEAST	ARB1	610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ABC transporter ATP-binding protein ARB1	1.0	0.999	14	47	47	47	17	15	15	17	15	15	17	15	15	1.60455648E8	1.51708016E8	1.54033648E8	1.8671862E7	1.962523E7	1.8334356E7	
sp|P40029|MSRA_YEAST	P40029	MSRA_YEAST	MXR1	184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptide methionine sulfoxide reductase	1.0	0.999	6	17	17	17	5	6	6	5	6	6	5	6	6	3.3422136E7	3.0420388E7	3.923816E7	9718438.0	8740622.0	1.0360383E7	
sp|P40030|ERG28_YEAST	P40030	ERG28_YEAST	ERG28	148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ergosterol biosynthetic protein 28	0.9674	0.999	1	5	5	5	2	2	1	2	2	1	2	2	1	3.2067514E7	3.981484E7	4.1093416E7	3.2067514E7	3.981484E7	4.1093416E7	
sp|P40032|TPA1_YEAST	P40032	TPA1_YEAST	TPA1	644	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Prolyl 3,4-dihydroxylase TPA1	1.0	0.999	7	14	14	14	6	4	4	6	4	4	6	4	4	2.8045844E7	1.9461994E7	2.1316E7	5689433.0	6206267.5	5959757.0	
sp|P40037|HMF1_YEAST	P40037	HMF1_YEAST	HMF1	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein HMF1	1.0	0.999	5	34	34	34	12	10	12	12	10	12	12	10	12	1.42345392E8	1.47789408E8	1.7914848E8	5.129988E7	5.9984192E7	6.0007024E7	
sp|P40040|THO1_YEAST	P40040	THO1_YEAST	THO1	218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein THO1	1.0	0.999	3	10	10	10	2	5	3	2	5	3	2	5	3	3.3196212E7	2.0979406E7	2.9471062E7	1.3394668E7	8740276.0	1.19263E7	
sp|P40043|RGI1_YEAST	P40043	RGI1_YEAST	RGI1	161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Respiratory growth induced protein 1	1.0	0.999	3	25	25	25	7	9	9	7	9	9	7	9	9	8.4264552E7	1.21315264E8	1.211558E8	4.07306E7	4.8218776E7	4.6925488E7	
sp|P40046|VTC1_YEAST	P40046	VTC1_YEAST	VTC1	129	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar transporter chaperone complex subunit 1	0.9999	0.999	2	10	10	10	3	4	3	3	4	3	3	4	3	4.987254E7	4.9709464E7	5.2806748E7	3.538742E7	3.627466E7	3.7374452E7	
sp|P40047|ALDH5_YEAST	P40047	ALDH5_YEAST	ALD5	520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Aldehyde dehydrogenase 5, mitochondrial	1.0	0.999	8	17	17	17	6	5	6	6	5	6	6	5	6	3.5055116E7	4.0808112E7	4.596352E7	8955915.0	1.0710705E7	9596950.0	
sp|P40053|AIM9_YEAST	P40053	AIM9_YEAST	AIM9	627	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Altered inheritance of mitochondria protein 9, mitochondrial	1.0	0.999	8	13	13	13	8	2	3	8	2	3	8	2	3	3.6669608E7	3.0522716E7	3.3999064E7	8772854.0	7949659.0	8572821.0	
sp|P40054|SERA_YEAST	P40054	SERA_YEAST	SER3	469	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase 1	1.0	0.999	13	42	14	42	14	14	14	4	5	5	14	14	14	1.1840232E8	1.22444528E8	1.40138608E8	1.399378E7	1.4723674E7	1.6705937E7	
sp|P40056|GET2_YEAST	P40056	GET2_YEAST	GET2	285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Golgi to ER traffic protein 2	1.0	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	8852974.0	9116995.0	8032355.0	4849752.5	4989234.0	4303593.0	
sp|P40064|NU157_YEAST	P40064	NU157_YEAST	NUP157	1391	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP157	0.8944	0.9965	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	1723774.6	0.0	0.0	0.0	0.0	
sp|P40069|IMB4_YEAST	P40069	IMB4_YEAST	KAP123	1113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin subunit beta-4	1.0	0.999	25	99	99	99	36	33	30	36	33	30	36	33	30	2.73026208E8	2.52939456E8	3.05411072E8	3.1024072E7	2.8880108E7	3.2854966E7	
sp|P40070|LSM4_YEAST	P40070	LSM4_YEAST	LSM4	187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm4	0.9996	0.9976	2	4	4	4	2	1	1	2	1	1	2	1	1	2.4264092E7	1.552863E7	6643707.5	1.3464547E7	7793205.5	1.097591E7	
sp|P40075|SCS2_YEAST	P40075	SCS2_YEAST	SCS2	244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vesicle-associated membrane protein-associated protein SCS2	1.0	0.999	6	33	33	33	9	13	11	9	13	11	9	13	11	1.85874448E8	1.84061168E8	2.02979744E8	6.560852E7	7.0530672E7	6.9853872E7	
sp|P40081|MGDP1_YEAST	P40081	MGDP1_YEAST	YER134C	178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Putative magnesium-dependent phosphatase YER134C	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	8500790.0	1.2120056E7	1.0577466E7	6197056.5	8013391.5	7063439.5	
sp|P40086|COX15_YEAST	P40086	COX15_YEAST	COX15	486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase assembly protein COX15	0.9674	0.999	1	1	1	1	0	1	0	0	1	0	0	1	0	1432171.2	1547335.5	1652335.8	1432171.2	1547335.5	1652335.8	
sp|P40087|DDI1_YEAST	P40087	DDI1_YEAST	DDI1	428	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA damage-inducible protein 1	1.0	0.999	3	9	9	9	3	3	3	3	3	3	3	3	3	1.2804926E7	1.3557178E7	1.2883935E7	5248408.5	6317823.0	5369888.0	
sp|P40088|FTR1_YEAST	P40088	FTR1_YEAST	FTR1	404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Plasma membrane iron permease	0.9982	0.9964	2	4	4	4	2	1	1	2	1	1	2	1	1	1.3344836E7	1.8501284E7	1.4786674E7	1.0023771E7	1.3026581E7	1.4786674E7	
sp|P40089|LSM5_YEAST	P40089	LSM5_YEAST	LSM5	93	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm5	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	4517701.0	7009867.5	8400490.0	4517701.0	7009867.5	8400490.0	
sp|P40093|YEY6_YEAST	P40093	YEY6_YEAST	YER156C	338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	MYG1 protein YER156C	1.0	0.999	5	8	8	8	5	2	1	5	2	1	5	2	1	2.8873458E7	3.3431684E7	2.206652E7	7173810.0	9379313.0	7864318.0	
sp|P40096|NCB1_YEAST	P40096	NCB1_YEAST	BUR6	142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Negative cofactor 2 complex subunit alpha	1.0	0.999	3	7	7	7	3	2	2	3	2	2	3	2	2	1.7438442E7	2.3585558E7	2.1396198E7	1.0136446E7	1.0317661E7	9268216.0	
sp|P40106|GPP2_YEAST	P40106	GPP2_YEAST	GPP2	250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycerol-1-phosphate phosphohydrolase 2	1.0	0.999	10	30	30	71	10	11	9	10	11	9	22	25	24	1.47829824E8	1.38958144E8	1.51493024E8	5.0790548E7	4.8960016E7	5.362274E7	
sp|P40150|SSB2_YEAST	P40150	SSB2_YEAST	SSB2	613	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribosome-associated molecular chaperone SSB2	1.0	0.999	26	35	35	419	10	13	12	10	13	12	138	142	139	1.81216512E8	2.52273088E8	2.36368208E8	1.04437856E8	1.46667408E8	1.48223312E8	
sp|P40157|VID27_YEAST	P40157	VID27_YEAST	VID27	782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar import and degradation protein 27	0.9972	0.999	2	4	4	4	1	2	1	1	2	1	1	2	1	2.8796306E7	2.3421814E7	2.2982288E7	1.6407503E7	1.305702E7	1.3099879E7	
sp|P40159|YNU8_YEAST	P40159	YNU8_YEAST	YNL208W	199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YNL208W	1.0	0.999	6	29	29	29	9	9	11	9	9	11	9	9	11	7.3392824E7	9.4810728E7	9.5688032E7	1.4894748E7	2.051465E7	2.0965858E7	
